Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt
42.5,90338600.14547239,149161508.61088386,90348219.06938186,149177224.75454345,81054801.71500514,134698919.73137942
43.0,90333370.19817582,149152963.5175014,90342711.14729892,149168225.48440304,80902216.14660612,134456989.88021335
43.5,90328352.59745468,149144765.3724176,90337422.37898031,149159584.28467426,80749630.57820709,134215060.02904728
44.0,90323538.72160295,149136900.0888207,90332344.04455459,149151286.9081551,80597045.00980806,133973130.17788121
44.5,90318920.29897356,149129354.15185234,90327467.77110381,149143319.67452303,80444459.44140904,133731200.32671514
45.0,90314489.39376523,149122114.59538513,90322785.5188586,149135669.44777948,80291873.87301001,133489270.47554907
45.5,90310238.39238645,149115168.97974303,90318289.56794256,149128323.6145919,80139288.30461098,133247340.624383
46.0,90306159.9903732,149108505.37032628,90313972.50564416,149121270.06349745,79986702.73621196,133005410.77321693
46.5,90302247.17983755,149102112.31710437,90309827.21419497,149114497.16493422,79834117.16781293,132763480.92205086
47.0,90298493.2374263,149095978.83494145,90305846.85903423,149107993.7520669,79681531.5994139,132521551.0708848
47.5,90294891.71276808,149090094.3847207,90302024.87754029,149101749.1023755,79528946.03101487,132279621.21971872
48.0,90291436.41738984,149084448.8552351,90298354.96821061,149095752.91997653,79376360.46261585,132037691.36855265
48.5,90288121.41408321,149079032.54581326,90294831.08027197,149089995.31864762,79223774.89421682,131795761.51738659
49.0,90284941.00670268,149073836.14965096,90291447.40370438,149084466.8055276,79071189.3258178,131553831.66622052
49.5,90281889.73037785,149068850.7378193,90288198.3596617,149079158.26546514,78918603.75741877,131311901.81505445
50.0,90278962.34212333,149064067.74392223,90285078.59127356,149074060.94599012,78766018.18901974,131069971.96388838
50.5,90276153.81182963,149059478.94937685,90282082.95481318,149069166.44288287,78613432.62062071,130828042.1127223
