Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt,Adams_Bash_Moulton-Ct,Adams_Bash_Moulton-Nt,Analítica - Ct,Analítica - Nt
59.0,90242592.88953993,149004644.51248792,90246042.00724246,149010279.94840795,76019477.95783725,126715234.64289913,90240611.95538379,149001407.90867743,90246042.00317359,149010279.9417599
59.5,90241261.03353544,149002468.42288604,90244599.59070934,149007923.21644244,75866892.38943823,126473304.79173306,90239385.59461863,148999404.18537688,90244599.58676927,149007923.21000484
60.0,90239983.25361344,149000380.68698043,90243214.56623957,149005660.25607973,75714306.8210392,126231374.94056699,90238208.02929635,148997480.1878541,90243214.56242447,149005660.2498463
60.5,90238757.35417423,148998377.71742994,90241884.65027018,149003487.33625764,75561721.25264017,125989445.08940092,90237077.31790404,148995632.7439148,90241884.64657634,149003487.33022237
61.0,90237581.22876388,148996456.07254693,90240607.65009853,149001400.87436858,75409135.68424115,125747515.23823485,90235991.5961793,148993858.80758253,90240607.64652236,149001400.86852553
61.5,90236452.85645486,148994612.45038328,90239381.46026705,148999397.43035272,75256550.11584212,125505585.38706878,90234949.07403654,148992155.45407662,90239381.45680504,148999397.42469618
62.0,90235370.29837343,148992843.6830567,90238204.05909187,148997473.7010262,75103964.54744309,125263655.53590271,90233948.0326155,148990519.87499,90238204.05574057,148997473.69555056
62.5,90234331.69436805,148991146.73130748,90237073.50532952,148995626.51463494,74951378.97904406,125021725.68473664,90232986.8214474,148988949.37365875,90237073.5020856,148995626.50933477
63.0,90233335.25981319,148989518.679276,90235987.93497634,148993852.82562527,74798793.41064504,124779795.83357057,90232063.85573363,148987441.36071604,90235987.93183658,148993852.82049525
63.5,90232379.28254278,148987956.72949257,90234945.55819522,148992149.7096225,74646207.84224601,124537865.9824045,90231177.61373286,148985993.3498229,90234945.55515645,148992149.70465755
64.0,90231462.11990817,148986458.1980705,90233944.65636453,148990514.3586094,74493622.27384698,124295936.13123843,90230326.63425203,148984602.95356882,90233944.65342371,148990514.35380447
64.5,90230582.1959556,148985020.51009437,90232983.57924463,148988944.07629648,74341036.70544796,124054006.28007236,90229509.5142372,148983267.87953547,90232983.57639876,148988944.0716467
65.0,90229737.99871834,148983641.19519565,90232060.74225692,148987436.2736764,74188451.13704893,123812076.42890629,90228724.90646031,148981985.92651722,90232060.73950312,148987436.269177
65.5,90228928.0776185,148982317.88330778,90231174.62387139,148985988.46475542,74035865.5686499,123570146.57774022,90227971.51729792,148980754.98089176,90231174.6212068,148985988.4604018
66.0,90228151.0409747,148981048.3005938,90230323.76309788,148984598.26245454,73883280.00025088,123328216.72657415,90227248.1045983,148979573.01313534,90230323.76051979,148984598.25824225
66.5,90227405.55361065,148979830.2655391,90229506.75707732,148983263.3746739,73730694.43185185,123086286.87540808,90226553.47563349,148978438.07447654,90229506.75458306,148983263.37059855
67.0,90226690.33456093,148978661.6852032,90228722.2587688,148981981.60051355,73578108.86345282,122844357.02424201,90225886.48513278,148977348.29368326,90228722.25635576,148981981.59657094
67.5,90226004.15487,148977540.5516231,90227968.97472852,148980750.82664478,73425523.2950538,122602427.17307594,90225246.0333944,148976301.87397745,90227968.9723942,148980750.82283077
68.0,90225345.83548036,148976464.93836337,90227245.66297735,148979569.02382576,73272937.72665477,122360497.32190987,90224631.0644724,148975297.0900728,90227245.6607193,148979569.0201364
68.5,90224714.24520671,148975432.99720573,90226551.13095301,148978434.2435558,73120352.15825574,122118567.4707438,90224040.56443572,148974332.28533012,90226551.12876888,148978434.23998716
69.0,90224108.29879221,148974442.95497334,90225884.23354393,148977344.61486283,72967766.58985671,121876637.61957774,90223473.55969636,148973405.86902583,90225884.2314314,148977344.61141118
69.5,90223526.95504358,148973493.110484,90225243.87120116,148976298.3412185,72815181.02145769,121634707.76841167,90222929.11540426,148972516.31372944,90225243.86915797,148976298.33788016
70.0,90222969.21504223,148972581.83162698,90224628.98812549,148975293.69757622,72662595.45305866,121392777.9172456,90222406.33390595,148971662.1527851,90224628.98614947,148975293.69434765
70.5,90222434.12042764,148971707.5525586,90224038.57052673,148974329.02752703,72510009.88465963,121150848.06607953,90221904.3532645,148970841.9778934,90224038.56861581,148974329.0244048
71.0,90221920.75175072,148970868.77101162,90223471.64495227,148973402.7405685,72357424.3162606,120908918.21491346,90221422.34583843,148970054.4367896,90223471.64310436,148973402.73754922
71.5,90221428.22689387,148970064.04571396,90222927.27668197,148972513.3094824,72204838.74786158,120666988.36374739,90220959.51691715,148969298.2310139,90222927.2748951,148972513.30656284
72.0,90220955.69955531,148969291.99391213,90222404.56818715,148971659.2678168,72052253.17946255,120425058.51258132,90220515.10341069,148968572.1137707,90222404.56645936,148971659.26499382
72.5,90220502.35779479,148968551.28899524,90221902.65765071,148970839.20746815,71899667.61106353,120183128.66141525,90220088.37259148,148967874.8878729,90221902.65598014,148970839.20473865
73.0,90220067.4226386,148967840.65821555,90221420.71754627,148970051.77635965,71747082.0426645,119941198.81024918,90219678.62088634,148967205.4037681,90221420.71593112,148970051.77372068
73.5,90219650.14674082,148967158.88050148,90220957.95327374,148969295.67621207,71594496.47426547,119699268.95908311,90219285.17271641,148966562.55764315,90220957.95171224,148969295.67366073
74.0,90219249.81309944,148966504.78435943,90220513.60184926,148968569.6604032,71441910.90586644,119457339.10791704,90218907.37938333,148965945.2896044,90220513.60033967,148968569.6579367
74.5,90218865.7338241,148965877.24586084,90220086.93064716,148967872.53191245,71289325.33746742,119215409.25675097,90218544.61799967,148965352.5819301,90220086.92918785,148967872.5295281
75.0,90218497.24895424,148965275.18671104,90219677.23619214,148967203.14134732,71136739.76906839,118973479.4055849,90218196.29046197,148964783.4573924,90219677.23478149,148967203.1390425
75.5,90218143.72532505,148964697.57239622,90219283.84299931,148966560.38504824,70984154.20066936,118731549.55441883,90217861.82246459,148964236.97764623,90219283.84163576,148966560.38282037
76.0,90217804.55547953,148964143.410406,90218906.10246056,148965943.20326898,70831568.63227034,118489619.70325276,90217540.66255282,148963712.24168214,90218906.1011426,148965943.2011156
76.5,90217479.15662462,148963611.74852794,90218543.39177513,148965350.57842937,70678983.06387131,118247689.8520867,90217232.28121369,148963208.3843408,90218543.39050129,148965350.57634807
77.0,90217166.96962988,148963101.67321143,90218195.11292277,148964781.53343758,70526397.49547228,118005760.00092062,90216936.17000292,148962724.5748865,90218195.11169162,148964781.53142598
77.5,90216867.45806676,148962612.30799782,90217860.69167778,148964235.1300791,70373811.92707326,117763830.14975455,90216651.84070666,148962260.01563758,90217860.69048794,148964235.128135
78.0,90216580.10728675,148962142.81201452,90217539.57666217,148963710.46746984,70221226.35867423,117521900.29858848,90216378.82453646,148961813.94065115,90217539.5755123,148963710.46559107
78.5,90216304.42353715,148961692.37853003,90217231.23843668,148963206.6805709,70068640.7902752,117279970.44742242,90216116.67135641,148961385.6144603,90217231.23732549,148963206.6787553
79.0,90216039.93311259,148961260.23356786,90216935.16862781,148962722.93876222,69916055.22187617,117038040.59625635,90215864.94894102,148960974.33086145,90216935.16755404,148962722.93700778
79.5,90215786.18154117,148960845.63457656,90216650.87908964,148962258.44447315,69763469.65347715,116796110.74509028,90215623.24226253,148960579.41175005,90216650.87805206,148962258.44277784
80.0,90215542.73280343,148960447.86915374,90216377.901099,148961812.43186745,69610884.08507812,116554180.8939242,90215391.15280658,148960200.20600253,90216377.90009643,148961812.43022937
80.5,90215309.16858324,148960066.25382203,90216115.78458267,148961384.1655806,69458298.5166791,116312251.04275814,90215168.2979153,148959836.08840275,90216115.78361398,148961384.1639979
81.0,90215085.08754891,148959700.13285464,90215864.09737532,148960972.93950737,69305712.94828007,116070321.19159207,90214954.3101563,148959486.45861113,90215864.09643939,148960972.93797818
81.5,90214870.10466367,148959348.87714866,90215622.42450696,148960578.07563764,69153127.37988104,115828391.340426,90214748.83671688,148959150.74017498,90215622.42360274,148960578.07416022
82.0,90214663.85052404,148959011.883144,90215390.36751881,148960198.9229385,69000541.81148201,115586461.48925993,90214551.53882232,148958828.37957793,90215390.36664523,148960198.92151117
82.5,90214465.97072506,148958688.57178634,90215167.54380624,148959834.8562809,68847956.24308299,115344531.63809386,90214362.0911774,148958518.84532738,90215167.54296231,148959834.854902
83.0,90214276.12525132,148958378.38753223,90214953.58598804,148959485.2754089,68695370.67468396,115102601.78692779,90214180.18142997,148958221.62707818,90214953.58517277,148959485.27407685
83.5,90214093.98789279,148958080.79739434,90214748.14130066,148959149.60395008,68542785.10628493,114860671.93576172,90214005.50965603,148957936.23479122,90214748.14051312,148959149.60266334
84.0,90213919.24568418,148957795.29002574,90214550.87101662,148958827.2884652,68390199.5378859,114618742.08459565,90213837.78786516,148957662.19792545,90214550.87025587,148958827.28722224
84.5,90213751.59836724,148957521.37484127,90214361.44988596,148958517.79753572,68237613.96948688,114376812.23342958,90213676.73952577,148957399.06466213,90214361.44915114,148958517.7963351
85.0,90213590.75787485,148957258.5811745,90214179.5656001,148958220.62088758,68085028.40108785,114134882.38226351,90213522.09910911,148957146.4011598,90214179.56489035,148958220.6197279
85.5,90213436.44783598,148957006.45746902,90214004.9182768,148957935.26854998,67932442.83268882,113892952.53109744,90213373.61165155,148956903.79083908,90214004.91759127,148957935.2674299
86.0,90213288.40310085,148956764.57050252,90213837.2199658,148957661.27004746,67779857.2642898,113651022.67993137,90213231.03233413,148956670.83369577,90213837.21930371,148957661.26896566
86.5,90213146.36928529,148956532.50464246,90213676.19417405,148957398.17362422,67627271.69589077,113409092.8287653,90213094.12607895,148956447.1456414,90213676.19353461,148957398.17257944
87.0,90213010.10233364,148956309.86113176,90213521.57540984,148957145.54549932,67474686.12749174,113167162.97759923,90212962.66716155,148956232.35786986,90213521.5747923,148957145.54449028
